id,price,bedrooms,property_type,latitude,longitude
1599010,106.0,2,Entire home/apt,47.66135,-122.31503
1603124,144.0,2,Entire home/apt,47.66108,-122.31434
1629525,49.0,1,Private room,47.57793050699965,-122.30020511960362
1647216,77.0,2,Entire home/apt,47.66281,-122.31305
1684236,168.0,2,Entire home/apt,47.61215,-122.32971
1686930,214.0,2,Entire home/apt,47.63059,-122.36509
1696389,445.0,2,Entire home/apt,47.6304,-122.37041
1716901,132.0,2,Entire home/apt,47.61884,-122.32476
1732441,81.0,2,Entire home/apt,47.56204,-122.36149
1737244,106.0,1,Private room,47.67148,-122.28099
1764100,141.0,2,Entire home/apt,47.66316,-122.31276
1773803,99.0,2,Entire home/apt,47.6568,-122.31299
1802663,116.0,2,Entire home/apt,47.65428,-122.33766
1820794,138.0,2,Entire home/apt,47.63089,-122.34815
1851863,82.0,2,Entire home/apt,47.69674,-122.34621
1900698,40.0,1,Private room,47.55306,-122.28104
1909058,100.0,1,Private room,47.63812,-122.37077
1925661,100.0,1,Private room,47.57943,-122.30387
1935439,,1,Private room,47.70407,-122.36123
1976382,165.0,2,Entire home/apt,47.62372,-122.32417
1983713,113.0,2,Entire home/apt,47.59181,-122.29372
2033191,191.0,2,Entire home/apt,47.67612,-122.33221
2037250,108.0,1,Private room,47.68434,-122.3572
2069917,83.0,2,Entire home/apt,47.57325,-122.3074
2118253,158.0,2,Entire home/apt,47.66789,-122.3008
2150760,123.0,2,Entire home/apt,47.55264,-122.27113
2197168,132.0,2,Entire home/apt,47.57882,-122.30842
2215336,169.0,2,Entire home/apt,47.67334,-122.33451
2267862,122.0,2,Entire home/apt,47.66577,-122.36659
2297917,125.0,2,Entire home/apt,47.70914,-122.36338
2298775,49.0,1,Private room,47.69968,-122.30691
2362078,86.0,1,Private room,47.58791337808578,-122.31035617368832
2391699,62.0,1,Private room,47.65401,-122.34515
2396734,180.0,2,Entire home/apt,47.67529296875,-122.3888168334961
2446384,70.0,1,Private room,47.6824,-122.30303
2471659,92.0,2,Entire home/apt,47.55217,-122.28502
2481189,222.0,2,Entire home/apt,47.63757,-122.34593
2486612,81.0,2,Entire home/apt,47.5739,-122.30978
2522091,230.0,2,Entire home/apt,47.587074,-122.393158
2536507,187.0,2,Entire home/apt,47.58378,-122.39909
2578855,94.0,2,Entire home/apt,47.68469,-122.35214
2612399,129.0,2,Entire home/apt,47.60929,-122.29554
2614238,91.0,2,Entire home/apt,47.59676,-122.28667
2614387,91.0,1,Private room,47.6551,-122.34316
2642739,153.0,2,Entire home/apt,47.67536,-122.29059
2670365,79.0,1,Private room,47.63193,-122.30955
2692126,202.0,2,Entire home/apt,47.63007,-122.34499
2693672,104.0,2,Entire home/apt,47.61855,-122.34512
2693700,165.0,2,Entire home/apt,47.65456,-122.3594
2727808,121.0,2,Entire home/apt,47.65856,-122.35146
2731253,188.0,2,Entire home/apt,47.65361,-122.34931
2760312,281.0,2,Entire home/apt,47.65412,-122.35262
2762241,107.0,2,Entire home/apt,47.67279,-122.35926
2809796,150.0,2,Entire home/apt,47.56628,-122.36652
2830174,72.0,1,Private room,47.59485,-122.3095
2847177,,2,Entire home/apt,47.66315,-122.31348
2882641,489.0,2,Entire home/apt,47.62494,-122.30343
2923529,264.0,2,Entire home/apt,47.64714,-122.35336
2931922,158.0,2,Entire home/apt,47.66308,-122.30442
2935486,272.0,2,Entire home/apt,47.615265,-122.349747
2948548,107.0,2,Entire home/apt,47.66094,-122.31542
2970666,165.0,2,Entire home/apt,47.62192,-122.32569
2976798,75.0,1,Private room,47.65491,-122.32722
2989758,128.0,2,Entire home/apt,47.66143,-122.35278
2995996,310.0,2,Entire home/apt,47.62126,-122.29708
3022308,138.0,2,Entire home/apt,47.6647,-122.30345
3022564,106.0,2,Entire home/apt,47.55995,-122.28322
3061918,75.0,1,Private room,47.57142,-122.38029
3121829,152.0,2,Entire home/apt,47.67204,-122.38053
3158243,136.0,2,Entire home/apt,47.66351,-122.30233
3254956,134.0,2,Entire home/apt,47.65434,-122.32898
3269390,143.0,2,Entire home/apt,47.63268,-122.3671
